idna_subject,checker_type,destination,source,tested_at,session_id
000webhost.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:10.795418,09646fd0553aba25207a4cfd
000.tf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:10.995651,09646fd0553aba25207a4cfd
0169.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:11.297491,09646fd0553aba25207a4cfd
0076.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:11.381060,09646fd0553aba25207a4cfd
01portable.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:11.590924,09646fd0553aba25207a4cfd
0060.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:11.596858,09646fd0553aba25207a4cfd
0217.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:11.821713,09646fd0553aba25207a4cfd
0378.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:12.417544,09646fd0553aba25207a4cfd
06.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:12.619713,09646fd0553aba25207a4cfd
0393.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:12.642837,09646fd0553aba25207a4cfd
0416.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:12.992641,09646fd0553aba25207a4cfd
0orange.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:13.067237,09646fd0553aba25207a4cfd
0ranges.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:13.177622,09646fd0553aba25207a4cfd
1001paixnidia.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:13.704081,09646fd0553aba25207a4cfd
1032.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:13.735359,09646fd0553aba25207a4cfd
0ranqpe.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:14.018982,09646fd0553aba25207a4cfd
1148.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:15.126916,09646fd0553aba25207a4cfd
1153.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:15.376756,09646fd0553aba25207a4cfd
1177.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:15.633020,09646fd0553aba25207a4cfd
1234love.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:16.568189,09646fd0553aba25207a4cfd
1179.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:16.739594,09646fd0553aba25207a4cfd
123-people.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:17.051406,09646fd0553aba25207a4cfd
12333.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:18.446138,09646fd0553aba25207a4cfd
1099.tf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:24.256460,09646fd0553aba25207a4cfd
1314520.paris,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:25.517319,09646fd0553aba25207a4cfd
1257.tf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:27.321942,09646fd0553aba25207a4cfd
1274.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:27.690846,09646fd0553aba25207a4cfd
1297.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:29.194771,09646fd0553aba25207a4cfd
089.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:32.526240,09646fd0553aba25207a4cfd
1315.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:36.382797,09646fd0553aba25207a4cfd
1321.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:38.607590,09646fd0553aba25207a4cfd
1343.fr,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:38.707423,09646fd0553aba25207a4cfd
1363.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:39.749573,09646fd0553aba25207a4cfd
1348.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:39.950907,09646fd0553aba25207a4cfd
1375.tf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:39.963574,09646fd0553aba25207a4cfd
1488.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:41.709678,09646fd0553aba25207a4cfd
1499.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:43.002729,09646fd0553aba25207a4cfd
1357.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:43.088244,09646fd0553aba25207a4cfd
1505.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:44.279545,09646fd0553aba25207a4cfd
1508.pm,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:45.539213,09646fd0553aba25207a4cfd
1362.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:46.954762,09646fd0553aba25207a4cfd
1522.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:48.364672,09646fd0553aba25207a4cfd
1524.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:49.279468,09646fd0553aba25207a4cfd
1390.yt,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:50.293044,09646fd0553aba25207a4cfd
1398.wf,AVAILABILITY,origin.list,origin.list,2022-12-18 05:10:50.505625,09646fd0553aba25207a4cfd
